,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company,isBlend,nutty,fruit,floral,spicy,cocoa,earthy,sweet,sour,roasty,dairy,grass,pungent,dirty,musty,smokey,rubbery,hammy,bland,off,bitter,astringent,C,L,S*,Sa,V
22,France,2015.0,Peru,Quilla,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
23,France,2015.0,Togo,Atsane,70.0,3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
24,France,2015.0,Togo,Kpime,70.0,2.75,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
25,France,2016.0,Sao Tome,Agua Grande,63.0,3.75,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
26,France,2018.0,Peru,Absolu,63.0,3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
27,France,2018.0,Venezuela,Porcelana,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
28,U.S.A.,2015.0,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
29,U.S.A.,2015.0,Peru,"Tumbes, Norandino",70.0,3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
30,U.S.A.,2020.0,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
31,U.S.A.,2020.0,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
32,Fiji,2011.0,Fiji,Vanua Levu,88.0,3.5,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
33,Fiji,2011.0,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
34,Fiji,2011.0,Fiji,"Vanua Levu, Toto-A",80.0,3.25,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
35,Fiji,2011.0,Fiji,Vanua Levu,60.0,2.75,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
36,Vanuatu,2019.0,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
37,Vanuatu,2019.0,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
38,Vanuatu,2019.0,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
39,Vanuatu,2019.0,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
